sentence	chars	lm-gpt2	lm-gpt2-div-chars	lm-gpt2-div-words	lm-gpt2-large	lm-gpt2-large-div-chars	lm-gpt2-large-div-words	lm-gpt2-medium	lm-gpt2-medium-div-chars	lm-gpt2-medium-div-words	words
"I got a wife."	13.0	-28.616764068603516	-2.201289543738732	-7.154191017150879	-28.140275955200195	-2.1646366119384766	-7.035068988800049	-28.035808563232422	-2.1566006587101865	-7.0089521408081055	4.0
"Where the fuck did this heat come from?"	39.0	-38.89144515991211	-0.997216542561849	-4.861430644989014	-34.57884216308594	-0.886636978540665	-4.322355270385742	-40.260643005371094	-1.0323241796248999	-5.032580375671387	8.0
"I was trying to ski."	20.0	-35.38332748413086	-1.7691663742065429	-7.0766654968261715	-36.077327728271484	-1.8038663864135742	-7.215465545654297	-36.69461441040039	-1.8347307205200196	-7.3389228820800785	5.0
"Goddamn convention."	19.0	-31.55126953125	-1.6605931332236843	-15.775634765625	-32.31505584716797	-1.7007924130088405	-16.157527923583984	-32.29736328125	-1.6998612253289473	-16.148681640625	2.0
"What have you got for me?"	25.0	-25.426742553710938	-1.0170697021484374	-4.237790425618489	-24.706117630004883	-0.9882447052001954	-4.1176862716674805	-22.965194702148438	-0.9186077880859375	-3.8275324503580728	6.0
"Twenty-five percent of your take-home kicks back to me."	55.0	-71.7423095703125	-1.3044056285511363	-7.971367730034722	-63.38060760498047	-1.1523746837269175	-7.042289733886719	-67.58922576904297	-1.2288950139825994	-7.509913974338108	9.0
"Vegas and the Super Bowl cleaned me out."	40.0	-56.68582534790039	-1.4171456336975097	-7.085728168487549	-52.615928649902344	-1.3153982162475586	-6.576991081237793	-54.22993087768555	-1.3557482719421388	-6.778741359710693	8.0
"He'll meet you at BJ's on Alvarado... at 2 a.m."	47.0	-77.77526092529297	-1.6547927856445312	-7.777526092529297	-74.14207458496094	-1.57749094861619	-7.414207458496094	-74.66759490966797	-1.588672232120595	-7.466759490966797	10.0
"That's what it looks like out there."	36.0	-28.974956512451172	-0.8048599031236436	-4.139279501778739	-27.619266510009766	-0.7672018475002713	-3.9456095014299666	-28.41616439819336	-0.7893378999498155	-4.059452056884766	7.0
"I do, um, letterheads and logotypes at night... and the store's a day job till I get enough going."	98.0	-143.69183349609375	-1.4662431989397322	-7.5627280787417765	-135.55276489257812	-1.3831914784956951	-7.134356046977796	-143.25637817382812	-1.4617997772839604	-7.5398093775699015	19.0
"You running a revolving tail?"	29.0	-51.669376373291016	-1.7817026335617592	-10.333875274658203	-54.955875396728516	-1.8950301860940868	-10.991175079345703	-51.679569244384766	-1.7820541118753368	-10.335913848876952	5.0
"Somewhere, someone's trying to put it together for him."	55.0	-45.288421630859375	-0.8234258478338068	-5.032046847873264	-46.46266174316406	-0.8447756680575285	-5.162517971462673	-46.872188568115234	-0.8522216103293679	-5.208020952012804	9.0
"I'm a needle starting at zero going the other way, a double blank."	66.0	-90.003662109375	-1.3636918501420454	-6.923358623798077	-91.33863830566406	-1.3839187622070312	-7.0260491004356975	-85.75341796875	-1.2992942116477273	-6.596416766826923	13.0
"No, not for me, it wasn't."	26.0	-36.50857162475586	-1.4041758317213793	-6.08476193745931	-37.13832092285156	-1.428396958571214	-6.189720153808594	-36.15095138549805	-1.3904212071345403	-6.025158564249675	6.0
"You have a tight family."	24.0	-36.24100112915039	-1.5100417137145996	-7.248200225830078	-35.388427734375	-1.474517822265625	-7.077685546875	-33.879966735839844	-1.4116652806599934	-6.775993347167969	5.0
"I got a package for you."	24.0	-30.809642791748047	-1.2837351163228352	-5.134940465291341	-31.815298080444336	-1.325637420018514	-5.302549680074056	-32.34477233886719	-1.3476988474527996	-5.390795389811198	6.0
"He doesn't talk about scores with Charlene... so there's nothing for me to get from Marciano."	93.0	-106.4039077758789	-1.1441280406008485	-6.650244235992432	-107.46751403808594	-1.155564667076193	-6.716719627380371	-104.43385314941406	-1.1229446575205813	-6.527115821838379	16.0
"In the United State, people usually have their teeth straightened at a young age."	81.0	-69.43074035644531	-0.8571696340301891	-4.9593385968889505	-61.961402893066406	-0.7649555912724247	-4.425814492361886	-67.90351104736328	-0.8383149512020158	-4.850250789097378	14.0
"It was careless of you not to lock the door."	44.0	-48.91943359375	-1.1118053089488635	-4.891943359375	-44.89830780029297	-1.0204160863702947	-4.489830780029297	-44.62592697143555	-1.0142256129871716	-4.462592697143554	10.0
"I'm thinking of leaving the company and starting my own business next year."	75.0	-45.86725997924805	-0.6115634663899739	-3.528250767634465	-46.80652618408203	-0.6240870157877604	-3.6005020141601562	-47.43095397949219	-0.6324127197265625	-3.648534921499399	13.0
"When you get on the escalator, you stand on one side so that those in a hurry can walk up the other side."	105.0	-86.23360443115234	-0.8212724231538319	-3.7492871491805366	-79.07876586914062	-0.753131103515625	-3.438207211701766	-84.41403198242188	-0.8039431617373511	-3.6701753035835596	23.0
"Don't worry, that clock is 10 minutes fast."	43.0	-50.31243896484375	-1.1700567201126453	-6.289054870605469	-46.7435302734375	-1.087058843568314	-5.8429412841796875	-46.8760986328125	-1.0901418286700582	-5.8595123291015625	8.0
"The city increased in population by 20 percent over the last five years."	72.0	-48.94563293457031	-0.6798004574245877	-3.7650486872746396	-50.585784912109375	-0.7025803460015191	-3.8912142240084133	-50.38035583496094	-0.6997271643744575	-3.8754119873046875	13.0
"I want to invest in what I think will yield a profit."	53.0	-50.664119720458984	-0.9559267871784713	-4.222009976704915	-48.80298614501953	-0.9208110593399912	-4.066915512084961	-46.916015625	-0.8852078419811321	-3.90966796875	12.0
"We went to a French restaurant to celebrate her birthday."	57.0	-43.360389709472656	-0.7607085913942572	-4.336038970947266	-40.10227966308594	-0.7035487660190516	-4.010227966308594	-42.866695404052734	-0.7520472877903989	-4.286669540405273	10.0
"Oil heaters consume more electricity than I expected."	53.0	-55.589324951171875	-1.04885518775796	-6.948665618896484	-54.955081939697266	-1.0368883384848542	-6.869385242462158	-56.358707427978516	-1.0633718382637456	-7.0448384284973145	8.0
"Be careful not to repeat the same mistake."	42.0	-30.11322784423828	-0.7169816153390067	-3.764153480529785	-30.368194580078125	-0.723052251906622	-3.7960243225097656	-32.82846450805664	-0.781630107334682	-4.10355806350708	8.0
"I often go shopping in Shibuya on Sundays."	42.0	-48.135475158691406	-1.1460827418736048	-6.016934394836426	-51.8173942565918	-1.2337474822998047	-6.477174282073975	-49.29913330078125	-1.1737888881138392	-6.162391662597656	8.0
"My sister and I take turns cooking meals."	41.0	-43.370574951171875	-1.0578189012480945	-5.421321868896484	-42.75846862792969	-1.0428894787299923	-5.344808578491211	-40.93171310424805	-0.9983344659572695	-5.116464138031006	8.0
"The air conditioner doesn't work."	33.0	-32.77579116821289	-0.9932057929761482	-6.555158233642578	-29.91464614868164	-0.9065044287479285	-5.982929229736328	-27.78052520751953	-0.8418340971975615	-5.556105041503907	5.0
"I got an iPhone as a present to celebrate my passing the high school entrance exam."	83.0	-74.62991333007812	-0.8991555822900978	-4.664369583129883	-70.21543884277344	-0.8459691426840174	-4.38846492767334	-72.71463012695312	-0.876079881047628	-4.54466438293457	16.0
"We've still got time before our departure, so shall we look around for gifts?"	77.0	-73.74068450927734	-0.9576712273932123	-5.2671917506626675	-68.86689758300781	-0.8943752932858158	-4.919064113071987	-65.37275695800781	-0.8489968436104911	-4.6694826398577005	14.0
"I played a tennis match with her and was surprised at how strong she was."	73.0	-54.90848922729492	-0.7521710853054099	-3.660565948486328	-54.83976745605469	-0.7512296911788313	-3.6559844970703126	-56.40670394897461	-0.7726945746434878	-3.7604469299316405	15.0
"Let's have a party now that the project has been completed successfully."	72.0	-58.84384536743164	-0.8172756301032172	-4.903653780619304	-56.084877014160156	-0.7789566251966689	-4.673739751180013	-59.95935821533203	-0.8327688641018338	-4.996613184611003	12.0
"Watch out, the weather can change suddenly in the mountains."	60.0	-54.46033477783203	-0.9076722462972006	-5.446033477783203	-47.76020812988281	-0.7960034688313802	-4.776020812988281	-49.51105499267578	-0.8251842498779297	-4.9511054992675785	10.0
"It's a shame that you missed such a great opportunity."	54.0	-40.51344299316406	-0.750248944317853	-4.051344299316407	-39.11750411987305	-0.7243982244420935	-3.9117504119873048	-39.347843170166016	-0.7286637624104818	-3.9347843170166015	10.0
"I had my wallet stolen in the train."	36.0	-43.1125602722168	-1.1975711186726887	-5.3890700340271	-41.01154708862305	-1.1392096413506403	-5.126443386077881	-40.3311653137207	-1.1203101476033528	-5.041395664215088	8.0
"Faith is the strength by which a shattered world shall emerge into the light."	77.0	-71.46885681152344	-0.9281669715782265	-5.104918343680246	-67.34443664550781	-0.8746030733182832	-4.810316903250558	-70.07211303710938	-0.9100274420403814	-5.005150931222098	14.0
"To say 'I love you' one must first be able to say the 'I.'"	58.0	-66.49636840820312	-1.1464891104862607	-4.7497406005859375	-56.74660873413086	-0.9783898057608769	-4.053329195295062	-65.50171661376953	-1.129339941616716	-4.6786940438406805	14.0
"Beauty in art is often nothing but ugliness subdued."	52.0	-72.41690063476562	-1.3926327045147235	-8.046322292751736	-63.5848388671875	-1.2227853628305287	-7.064982096354167	-68.06513977050781	-1.3089449955866888	-7.562793307834202	9.0
"The view of Earth is spectacular."	33.0	-38.36824035644531	-1.1626739501953125	-6.394706726074219	-37.46989440917969	-1.1354513457327178	-6.244982401529948	-37.824974060058594	-1.1462113351532908	-6.304162343343099	6.0
"A bank is a place that will lend you money if you can prove that you don't need it."	83.0	-60.973297119140625	-0.7346180375800075	-3.209120901007401	-54.44366455078125	-0.6559477656720633	-2.8654560289884867	-57.358184814453125	-0.6910624676440136	-3.0188518323396383	19.0
"It is better to rust out than wear out."	39.0	-47.79692459106445	-1.2255621690016527	-5.310769399007161	-44.64168930053711	-1.144658700013772	-4.960187700059679	-43.883827209472656	-1.125226338704427	-4.875980801052517	9.0
"Fortune and love favor the brave."	33.0	-48.33347702026367	-1.464650818795869	-8.05557950337728	-43.43600845336914	-1.3162426804051255	-7.23933474222819	-42.55121612548828	-1.2894307916814631	-7.091869354248047	6.0
"An artist is not paid for his labor but for his vision."	55.0	-61.90481185913086	-1.1255420338023792	-5.158734321594238	-49.32295608520508	-0.8967810197310014	-4.110246340433757	-52.672855377197266	-0.9576882795854048	-4.3894046147664385	12.0
"Nature is never finished."	25.0	-29.856407165527344	-1.1942562866210937	-7.464101791381836	-29.81538963317871	-1.1926155853271485	-7.453847408294678	-28.537532806396484	-1.1415013122558593	-7.134383201599121	4.0
"There must be quite a few things that a hot bath won't cure, but I don't know many of them."	91.0	-78.60511779785156	-0.8637925032730941	-3.930255889892578	-74.9139404296875	-0.8232301146119505	-3.745697021484375	-76.79541015625	-0.8439056061126373	-3.8397705078125	20.0
"We relish news of our heroes, forgetting that we are extraordinary to somebody too."	83.0	-95.09264373779297	-1.1456945028649754	-6.792331695556641	-91.39723205566406	-1.1011714705501694	-6.528373718261719	-89.42102813720703	-1.077361784785627	-6.387216295514788	14.0
"The best thing commercially, which is the worst artistically, by and large, is the most successful."	99.0	-92.41081237792969	-0.9334425492720171	-5.7756757736206055	-85.3597183227539	-0.8622193769975142	-5.334982395172119	-91.86687469482422	-0.9279482292406487	-5.741679668426514	16.0
"Today's mighty oak is just yesterday's nut, that held its ground."	65.0	-86.59703063964844	-1.3322620098407452	-7.872457330877131	-81.58332061767578	-1.2551280095027044	-7.416665510697798	-85.55775451660156	-1.3162731464092547	-7.777977683327415	11.0
"The trouble with super heroes is what to do between phone booths."	65.0	-74.9960708618164	-1.1537857055664062	-6.249672571818034	-69.60716247558594	-1.070879422701322	-5.800596872965495	-70.32279205322266	-1.0818891085111177	-5.860232671101888	12.0
"God cannot alter the past, though historians can."	49.0	-54.889732360839844	-1.1201986196089764	-6.8612165451049805	-52.494171142578125	-1.0713096151546555	-6.561771392822266	-55.32476043701172	-1.129076743612484	-6.915595054626465	8.0
"Each moment of a happy lover's hour is worth an age of dull and common life."	76.0	-100.75245666503906	-1.3256902192768298	-6.297028541564941	-94.08037567138672	-1.2378996798866673	-5.88002347946167	-91.7825698852539	-1.2076653932270252	-5.736410617828369	16.0
"I continue to get further away from the usual painter's tools such as easel, palette, brushes, etc."	99.0	-94.61778259277344	-0.9557351777047822	-5.5657519172219665	-83.20885467529297	-0.8404934815686158	-4.894638510311351	-86.46549987792969	-0.8733888876558554	-5.086205875172334	17.0
"America forms the longest and straightest bone in the earth's skeleton."	71.0	-70.91754913330078	-0.998838720187335	-6.447049921209162	-64.27459716796875	-0.9052760164502641	-5.843145197088068	-74.91194915771484	-1.0550978754607725	-6.810177196155895	11.0
"Research is what I'm doing when I don't know what I'm doing."	60.0	-48.070838928222656	-0.801180648803711	-4.005903244018555	-46.107994079589844	-0.768466567993164	-3.8423328399658203	-46.95807647705078	-0.7826346079508464	-3.913173039754232	12.0
"Target.com just made my book disappear."	39.0	-55.277488708496094	-1.4173715053460536	-9.21291478474935	-54.0570068359375	-1.3860770983573718	-9.009501139322916	-54.63253402709961	-1.400834205823067	-9.105422337849935	6.0
"One of the few remaining great hall central hearths in action, at Penshurst Place, built in 1341."	97.0	-129.62966918945312	-1.3363883421593106	-7.625274658203125	-119.70719146728516	-1.2340947573946923	-7.041599498075597	-125.73062133789062	-1.2961919725555735	-7.3959189022288605	17.0
"Bill Gates sold only .7% of his stock in Microsoft's IPO."	57.0	-66.46666717529297	-1.1660818802682977	-6.042424288662997	-61.94041442871094	-1.0866739373458059	-5.630946766246449	-62.85042190551758	-1.102638980798554	-5.713674718683416	11.0
"Friday the 13th is good!"	24.0	-35.272281646728516	-1.4696784019470215	-7.054456329345703	-36.07301712036133	-1.5030423800150554	-7.214603424072266	-33.957279205322266	-1.4148866335550945	-6.791455841064453	5.0
"A substantial portion of Russian regional governors have plagiarized PhD theses."	80.0	-84.40914916992188	-1.0551143646240235	-7.673559015447443	-76.81315612792969	-0.9601644515991211	-6.983014193448153	-78.47666931152344	-0.980958366394043	-7.134242664683949	11.0
"There are only three statewide contests in the past half-century in which recounts changed the outcome."	103.0	-75.90864562988281	-0.7369771420376973	-4.744290351867676	-71.54149627685547	-0.6945776337558783	-4.471343517303467	-76.99278259277344	-0.7475027436191596	-4.81204891204834	16.0
"We have been at Level 5 lockdown in Ireland since October 21st."	63.0	-67.52432250976562	-1.0718146430121527	-5.627026875813802	-70.60713958740234	-1.1207482474190849	-5.883928298950195	-67.98110961914062	-1.0790652320498513	-5.665092468261719	12.0
"I am automatically not interested in any home-<whatever> system with a Windows (or Mac) computer at the heart of it."	116.0	-116.21036529541016	-1.0018134939259495	-5.810518264770508	-107.74884796142578	-0.9288693789778084	-5.387442398071289	-117.92381286621094	-1.0165845936742322	-5.896190643310547	20.0
"It didn't occur to me till a few minutes later, but this is exactly what I'm always nagging founders to do."	107.0	-92.88151550292969	-0.8680515467563522	-4.422929309663319	-83.27546691894531	-0.778275391765844	-3.9654984247116816	-84.4229736328125	-0.7889997535776869	-4.0201416015625	21.0
"Attempts to produce vaccines for the two other known human coronavirus diseases were unsuccessful."	98.0	-70.93302154541016	-0.7238063423001037	-5.066644396100726	-69.9308090209961	-0.7135796838877152	-4.995057787214007	-69.42527770996094	-0.7084212011220504	-4.958948407854352	14.0
"If we want to leave poverty behind while bringing emissions to zero we have to bring this line to zero."	103.0	-93.94403076171875	-0.9120779685603763	-4.697201538085937	-93.43238830566406	-0.9071105660744083	-4.671619415283203	-90.50669860839844	-0.8787058117320237	-4.5253349304199215	20.0
"Remember the good old days, when the CDC figured out things about infectious diseases before ordinary people?"	109.0	-78.83103942871094	-0.7232205452175315	-4.637119966394761	-74.24911499023438	-0.6811845411948108	-4.367594999425552	-76.96049499511719	-0.7060595871111669	-4.527087940889246	17.0
"It's not just airlines that compete with airlines."	50.0	-39.567413330078125	-0.7913482666015625	-4.945926666259766	-40.51224899291992	-0.8102449798583984	-5.06403112411499	-42.56437683105469	-0.8512875366210938	-5.320547103881836	8.0
"Interesting point: Elevators increase segregation."	50.0	-58.6036376953125	-1.17207275390625	-11.7207275390625	-59.10334014892578	-1.1820668029785155	-11.820668029785157	-54.76840591430664	-1.0953681182861328	-10.953681182861327	5.0
"The fact that the most popular Apple laptops are still spec'd to have a max of 16 GB of RAM is exactly why I am building Mighty."	128.0	-118.98783874511719	-0.929592490196228	-4.4069569905598955	-116.06585693359375	-0.9067645072937012	-4.298735441984953	-117.59222412109375	-0.9186892509460449	-4.3552675600405095	27.0
"3D map of US COVID cases, March 1st to November 10."	51.0	-94.04701232910156	-1.8440590652765012	-8.549728393554688	-93.59809875488281	-1.8352568383310355	-8.50891806862571	-98.14908599853516	-1.9244918823242188	-8.922644181685014	11.0
"Fuck that was cool."	19.0	-28.413372039794922	-1.495440633673417	-7.1033430099487305	-29.898197174072266	-1.5735893249511719	-7.474549293518066	-31.041587829589844	-1.6337677805047286	-7.760396957397461	4.0
"Congress allocated $25 billion to testing in April—that was far too little."	75.0	-79.58405303955078	-1.0611207071940105	-6.632004419962565	-79.25843811035156	-1.0567791748046875	-6.604869842529297	-77.88519287109375	-1.03846923828125	-6.4904327392578125	12.0
"What does runaway spread look like?"	35.0	-42.762691497802734	-1.2217911856515067	-7.127115249633789	-43.913307189941406	-1.2546659197126115	-7.318884531656901	-40.56371307373047	-1.1589632306780133	-6.760618845621745	6.0
"The old woman is a doctor."	26.0	-38.31252670288086	-1.4735587193415716	-6.38542111714681	-37.17219924926758	-1.4296999711256762	-6.195366541544597	-36.91825485229492	-1.41993287893442	-6.153042475382487	6.0
"I don't go to school on Sunday."	31.0	-35.32088088989258	-1.1393832545126639	-5.045840127127511	-36.440834045410156	-1.1755107756583922	-5.205833435058594	-34.30591583251953	-1.1066424462103075	-4.900845118931362	7.0
"My father insisted that we should go."	37.0	-42.49822998046875	-1.1486008102829393	-6.071175711495536	-40.335880279541016	-1.0901589264740814	-5.762268611363003	-41.21504211425781	-1.113920057142103	-5.8878631591796875	7.0
"You only die once."	18.0	-27.071147918701172	-1.5039526621500652	-6.767786979675293	-25.545076370239258	-1.4191709094577365	-6.3862690925598145	-25.344932556152344	-1.4080518086751301	-6.336233139038086	4.0
"Is there a bus stop near your house?"	36.0	-36.3004035949707	-1.0083445443047419	-4.537550449371338	-32.56851577758789	-0.9046809938218858	-4.071064472198486	-34.19560241699219	-0.9498778449164497	-4.274450302124023	8.0
"He gives powerful lectures about Islam."	39.0	-43.69883346557617	-1.120482909373748	-7.283138910929362	-45.19569778442383	-1.1588640457544572	-7.532616297403972	-43.22052764892578	-1.1082186576647637	-7.203421274820964	6.0
"He studied in various Islamic schools."	38.0	-40.17905044555664	-1.0573434327778064	-6.696508407592773	-39.999237060546875	-1.0526115015933388	-6.6665395100911455	-40.59972381591797	-1.0684137846294202	-6.766620635986328	6.0
"Tom sprained his wrist on October 20th."	39.0	-52.74631118774414	-1.3524695176344652	-7.535187312534878	-49.68928146362305	-1.2740841400928986	-7.098468780517578	-52.10757827758789	-1.3360917507073817	-7.443939753941128	7.0
"Tom told Mary exactly what she wanted to know."	46.0	-50.81936264038086	-1.1047687530517578	-5.646595848931207	-49.054405212402344	-1.0664001133130945	-5.4504894680447045	-47.001590728759766	-1.0217737114947776	-5.222398969862196	9.0
"Sami kind of didn't care about that."	36.0	-46.121864318847656	-1.2811628977457683	-6.588837759835379	-48.202789306640625	-1.3389663696289062	-6.886112758091518	-47.4105110168457	-1.3169586393568251	-6.772930145263672	7.0
"Tom has friends in Australia."	29.0	-39.76726531982422	-1.3712850110284214	-7.953453063964844	-41.694671630859375	-1.4377472976158405	-8.338934326171875	-41.18989944458008	-1.4203413601579338	-8.237979888916016	5.0
"Sami brought forward more damning evidence against Layla."	57.0	-67.81657409667969	-1.1897644578364857	-8.477071762084961	-73.21018981933594	-1.2843892950760691	-9.151273727416992	-69.11774444580078	-1.2125920078210664	-8.639718055725098	8.0
"Please don't call Tom back."	27.0	-39.500057220458984	-1.4629650822392217	-7.900011444091797	-39.660118103027344	-1.4688932630750868	-7.932023620605468	-39.48814010620117	-1.4625237076370805	-7.8976280212402346	5.0
"I'm getting a lot better at French."	35.0	-38.94398880004883	-1.1126853942871093	-5.563426971435547	-38.79765319824219	-1.108504377092634	-5.542521885463169	-39.62369918823242	-1.1321056910923548	-5.660528455461774	7.0
"I can't believe Tom and Mary are really planning to do that."	60.0	-56.63581466674805	-0.9439302444458008	-4.719651222229004	-57.545196533203125	-0.9590866088867187	-4.795433044433594	-56.3597297668457	-0.9393288294474283	-4.696644147237142	12.0
"Tom seemed happy enough."	24.0	-39.83727264404297	-1.659886360168457	-9.959318161010742	-36.95415115356445	-1.5397562980651855	-9.238537788391113	-35.05118179321289	-1.460465908050537	-8.762795448303223	4.0
"No children were in the park."	29.0	-37.27573013305664	-1.28537000458816	-6.212621688842773	-32.8046760559082	-1.1311957260658	-5.467446009318034	-33.861328125	-1.1676320043103448	-5.6435546875	6.0
"I don't live in this neighborhood."	34.0	-30.628398895263672	-0.9008352616254021	-5.104733149210612	-30.955230712890625	-0.9104479621438419	-5.1592051188151045	-31.230613708496094	-0.918547462014591	-5.205102284749349	6.0
"All women like diamonds."	24.0	-34.0177116394043	-1.4174046516418457	-8.504427909851074	-35.42828369140625	-1.476178487141927	-8.857070922851562	-34.59359359741211	-1.4413997332255046	-8.648398399353027	4.0
"I've been learning Finnish for over ten years, and I still have trouble understanding it."	89.0	-58.06934356689453	-0.6524645344594892	-3.8712895711263022	-53.7950439453125	-0.6044386960147472	-3.5863362630208333	-52.94461441040039	-0.5948833079820268	-3.529640960693359	15.0
"He comes down on Thursday at the latest, very likely on Wednesday."	66.0	-66.61752319335938	-1.0093564120205967	-5.551460266113281	-70.36419677734375	-1.0661241935961174	-5.8636830647786455	-63.18946075439453	-0.9574160720362808	-5.265788396199544	12.0
"When she came to that part of the letter in which her family were mentioned in terms of such mortifying, yet merited reproach, her sense of shame was severe."	157.0	-150.64981079101562	-0.9595529349746218	-5.19482106175916	-145.1366424560547	-0.9244372130958898	-5.004711808829472	-148.3644256591797	-0.9449963417782146	-5.116014677902748	29.0
"Lady Catherine, it appeared, had actually taken the trouble of this journey from Rosings, for the sole purpose of breaking off her supposed engagement with Mr. Darcy."	166.0	-154.3835906982422	-0.9300216307123024	-5.7179107666015625	-141.44149780273438	-0.8520572156791227	-5.2385739926938655	-141.8873748779297	-0.8547432221562029	-5.25508795844184	27.0
"It must be very agreeable for her to be settled within so easy a distance of her own family and friends."	104.0	-90.13804626464844	-0.8667119833139273	-4.292287917364211	-79.87220764160156	-0.7680019965538611	-3.803438459123884	-81.71638488769531	-0.7857344700739934	-3.8912564232235862	21.0
"Elizabeth could not but smile at such a conclusion of such a beginning, but Mrs. Bennet, who had persuaded herself that her husband regarded the affair as she wished, was excessively disappointed."	196.0	-165.87969970703125	-0.8463249985052614	-5.183740615844727	-149.28631591796875	-0.7616648771324936	-4.665197372436523	-153.03353881835938	-0.7807833613181601	-4.7822980880737305	32.0
"Aye—that is because you have the right disposition."	51.0	-62.19477462768555	-1.2195053848565793	-7.774346828460693	-59.621612548828125	-1.1690512264476103	-7.452701568603516	-60.30061721801758	-1.1823650434905408	-7.537577152252197	8.0
"It would have spared her, she thought, one sleepless night out of two."	70.0	-66.49224853515625	-0.9498892647879464	-5.114788348858173	-68.46769714355469	-0.9781099591936384	-5.266745934119592	-67.18851470947266	-0.9598359244210379	-5.16834728534405	13.0
"“Yes, madam,” said Mrs. Bennet, delighted to speak to Lady Catherine."	69.0	-122.24566650390625	-1.7716763261435688	-11.113242409446023	-109.58623504638672	-1.5882063050200974	-9.962385004216975	-108.77804565429688	-1.5764934152796648	-9.888913241299717	11.0
"Elizabeth related to Jane the next day what had passed between Mr. Wickham and herself."	87.0	-95.13188171386719	-1.0934699047570942	-6.342125447591146	-79.99227905273438	-0.9194514833647629	-5.332818603515625	-87.53813171386719	-1.0061854219984734	-5.835875447591146	15.0
"Lakes, mountains, and rivers shall not be jumbled together in our imaginations; nor when we attempt to describe any particular scene, will we begin quarreling about its relative situation."	188.0	-155.00621032714844	-0.8245011187614278	-5.345041735418912	-150.2663116455078	-0.7992888917314246	-5.181596953293373	-148.87545776367188	-0.7918907327854887	-5.133636474609375	29.0
"Then pray speak aloud."	22.0	-40.252464294433594	-1.8296574679287998	-10.063116073608398	-43.88432312011719	-1.9947419600053267	-10.971080780029297	-40.099853515625	-1.8227206143465908	-10.02496337890625	4.0
"It is a circumstance which Darcy could not wish to be generally known, because if it were to get round to the lady’s family, it would be an unpleasant thing."	157.0	-164.19798278808594	-1.0458470241279358	-5.473266092936198	-153.61392211914062	-0.9784326249626791	-5.120464070638021	-163.4686737060547	-1.0412017433506668	-5.448955790201823	30.0
"That she should receive an offer of marriage from Mr. Darcy!"	60.0	-66.64547729492188	-1.1107579549153646	-6.058679754083807	-66.88710021972656	-1.1147850036621094	-6.080645474520597	-63.72571563720703	-1.0620952606201173	-5.79324687610973	11.0
"There certainly was some great mismanagement in the education of those two young men."	85.0	-74.23461151123047	-0.8733483707203584	-5.302472250802176	-68.83326721191406	-0.8098031436695772	-4.916661943708148	-71.7155532836914	-0.8437123915728401	-5.122539520263672	14.0
"This was praise, of all others most extraordinary, most opposite to her ideas."	78.0	-103.95281982421875	-1.3327284592848558	-7.996370755709135	-100.11780548095703	-1.2835616087302184	-7.70136965238131	-99.02487182617188	-1.2695496387970753	-7.617297832782452	13.0
"How is such a man to be worked on?"	34.0	-48.52267074584961	-1.4271373748779297	-5.391407860649957	-47.348846435546875	-1.392613130457261	-5.260982937282986	-46.99214172363281	-1.3821218154009651	-5.2213490804036455	9.0
"He brought it with him for us to see."	37.0	-40.43918991088867	-1.0929510786726668	-4.4932433234320746	-43.35491180419922	-1.1717543730864655	-4.817212422688802	-42.66864013671875	-1.153206490181588	-4.740960015190972	9.0
"I mean, that no man in his senses would marry Lydia on so slight a temptation as one hundred a year during my life, and fifty after I am gone."	142.0	-169.85879516601562	-1.1961886983522227	-5.661959838867188	-151.73251342773438	-1.068538826955876	-5.057750447591146	-158.54505920410156	-1.116514501437335	-5.2848353068033855	30.0
"Her father lifted up his eyes."	30.0	-41.014862060546875	-1.3671620686848958	-6.8358103434244795	-39.628074645996094	-1.3209358215332032	-6.604679107666016	-42.32054901123047	-1.4106849670410155	-7.053424835205078	6.0
"“I’ll be the judge of who does and doesn’t make a warrior,” Dojo said."	70.0	-148.1335906982422	-2.116194152832031	-10.580970764160156	-130.31298828125	-1.8616141183035715	-9.308070591517858	-127.07621002197266	-1.8153744288853237	-9.076872144426618	14.0
"“I’ll be the judge of who does and doesn’t make a warrior,” he said."	68.0	-135.34304809570312	-1.9903389425838696	-9.667360578264509	-110.65833282470703	-1.6273284238927506	-7.904166630336216	-112.515625	-1.654641544117647	-8.036830357142858	14.0
"""I’ll be the judge of who does and doesn’t make a warrior,"" he said."	68.0	-93.29008483886719	-1.3719130123362822	-6.663577488490513	-82.38378143310547	-1.2115261975456686	-5.884555816650391	-87.48220825195312	-1.2865030625287224	-6.248729160853794	14.0
"“Goat’s blood is good,” Billy kept insisting."	45.0	-117.42467498779297	-2.6094372219509547	-16.77495356968471	-114.46381378173828	-2.543640306260851	-16.351973397391184	-113.65795135498047	-2.525732252332899	-16.23685019356864	7.0
"“Goat’s blood is good,” he kept insisting."	42.0	-107.63060760498047	-2.562633514404297	-15.375801086425781	-106.98029327392578	-2.5471498398553756	-15.282899039132255	-105.23087310791016	-2.5054969787597656	-15.032981872558594	7.0
"""Goat’s blood is good,"" he kept insisting."	42.0	-78.9673080444336	-1.8801740010579426	-11.281044006347656	-79.53237915039062	-1.8936280750093006	-11.361768450055804	-82.62808990478516	-1.967335473923456	-11.804012843540736	7.0
"“Sorry—,” I began, but his face was already back in the beans."	62.0	-126.70508575439453	-2.0436304153934604	-10.558757146199545	-119.35073852539062	-1.9250119116998488	-9.945894877115885	-113.23004913330078	-1.8262911150532384	-9.435837427775065	12.0
